who is your best friend?,friend,People
what do you admire about your friend,friend,People
what do you hate about your friend,friend,People
have you ever cheated on your friend,friend,People
what is the craziest thing you have done with your friend,friend,People
college friends or school friends which one do you think are best?,friend,People
Tell me about your teachers,TEACHER,People
What Role teachers have played in your life?,TEACHER,People
Give me a scenario when you have taught someone,TEACHER,People
Why not teaching as a career option,TEACHER,People
Do you always require a teacher with you? or you can self learn,TEACHER,People
What did you learn from your teachers?,TEACHER,People
Tell me more about your father,FATHER,People
Tell me more about your father's profession,FATHER,People
What would you like to full fill  your dream or your fathers dream?,FATHER,People
What did you have as a child that kids today don’t have?,FATHER,People
Which family member has been your greatest coach in life? How have they coached you? What has made them good at it?,FATHER,People
When you were a teenager which family member did you go to for advice? Looking back was it good advice?,FATHER,People
Tell me a story about a family reunion or family party that you remember attending as a child.,FATHER,People
 What is the most embarrassing thing your mother or father ever did to you?,FATHER,People
What are your best memories of holidays or family gatherings as a child?,FATHER,People
Describe your father is 3 words,FATHER,People
 If you could go back to one day in your childhood which day would that be? Why?,FATHER,People
Tell me more about your family,FAMILY,People
Tell me more about your parents,FAMILY,People
Tell me about your siblings,FAMILY,People
Why family is important for you?,FAMILY,People
college friends or school friends,friend,aiml
Tell me more about your hobby,HOBBY,PASS-TIME
Do you have any other hobbies?,HOBBY,PASS-TIME
 Mention what is Jenkins?,JENKINS,Tools
 Explain what is continuous integration?,JENKINS,Tools
 What is the requirement for using Jenkins?,JENKINS,Tools
 Mention what are the advantages of Jenkins?,JENKINS,Tools
 Explain how you can move or copy Jenkins from one server to another?,JENKINS,Tools
 Mention what are the commands you can use to start Jenkins manually?,JENKINS,Tools
 Mention some of the useful plugins in Jenkin?,JENKINS,Tools
 Explain how you can deploy a custom build of a core plugin?,JENKINS,Tools
 Explain how can create a backup and copy files in Jenkins?,JENKINS,Tools
 Explain how you can clone a Git repository via Jenkins?,JENKINS,Tools
 Explain how you can set up Jenkins job?,JENKINS,Tools
 Mention what are the two components Jenkins is mainly integrated with?,JENKINS,Tools
 What are the differences between Docker and Hypervisors?,DOCKER,Tools
 What is Docker?,DOCKER,Tools
 What is Docker image?,DOCKER,Tools
 What is Docker container?,DOCKER,Tools
 What is Dockerfile used for?,DOCKER,Tools
 How to create Docker container?,DOCKER,Tools
 How to stop and restart the Docker container?,DOCKER,Tools
 Do I lose my data when the Docker container exits?,DOCKER,Tools
 Mention some commonly used Docker command?,DOCKER,Tools
What is AR?,AR,Advance
How AR is different than VR?,AR,Advance
HOW AR is changing the world?,AR,Advance
Any AR Application you developed in AR?,AR,Advance
Which tools are used to develop AR Applications,AR,Advance
Will augmented reality help in the field of  marketing?,AR,Advance
 Where is augmented reality being used?,AR,Advance
 Is augmented reality expensive?,AR,Advance
Where is augmented reality heading?,AR,Advance
Explain what is OpenStack?,OPENSTACK,Clouds
Mention what are the three components that make modular architecture of OpenStack?,OPENSTACK,Clouds
Give an overview of OpenStack Services?,OPENSTACK,Clouds
